id,projectName,startDate,endDate,imageCount,onOldWebsite,needsRepairDetails,needsSkills,itemDetails,repairDetails_current,skills_current,repairDetails_FILL_IN,skills_FILL_IN
0019,Bear in giraffe onesie plush,2024-02-12,2024-02-12,2,No,Yes,No,"This bear in a giraffe onesie is a novelty costume plush style common in gift shops and seasonal retail from the 2000s onward. The design combines a standard teddy body with character-costume clothing cues, which is typical of modern mixed-animal plush concepts.

Materials are usually polyester plush, stitched applique facial details, and lightweight fiber fill with embroidered accents on the onesie. Secondary-market pricing is generally modest unless the item can be matched to a specific licensed range or a known plush maker via sewn labels.",,plush,,
0020,Christmas bear music box figurine,2024-02-13,2024-02-13,3,No,Yes,No,"Christmas bear music box figurines are part of holiday giftware traditions that became especially common from the late 20th century onward. These pieces were sold through card shops, seasonal home-decor retailers, and collectible Christmas catalog lines.

They are often polyresin or ceramic with a small internal wind-up musical movement and painted holiday detailing. Value is usually decorative rather than rare-collector level, but complete and working music box mechanisms help retain interest for seasonal display buyers.",,"plush, mechanical",,
0021,Purple tie-dye monkey plush,2025-03-24,2025-03-24,1,No,Yes,No,"This purple tie-dye monkey plush fits the bright novelty plush trend that expanded through mass retail and carnival-prize channels in the 2000s and 2010s. Tie-dye dye patterns and oversized limbs are common design cues in this segment.

Construction is typically polyester velour or minky outer fabric with polyester fill and embroidered facial details for child-safety compliance. Market value is usually low-to-mid gift-plush range unless the toy is linked to a branded character line with identifiable tags.",,plush,,
0022,Pokemon Pikachu 2 GS pair,2025-05-20,2025-05-20,6,No,Yes,No,"A Pokemon Pikachu pair in a Gold/Silver-era style aligns with the franchise's major expansion around the 1999-2001 period and its long-running licensed merchandise programs. Official products are tied to The Pokemon Company/Nintendo licensing and were produced by multiple makers across regions.

Depending on format (plush or figures), materials are usually polyester textile bodies or PVC/ABS molded parts with painted features. Collector demand for Pikachu is consistently strong, and value improves when both pieces are matched as a set, authentic, and free of heavy paint or fabric wear.",,"plush, electronic",,
0024,Atomizer,2025-06-25,2025-06-25,0,No,Yes,No,,,electronic,,
0025,Hamish yellow teddy bear,2025-05-23,2025-06-26,9,No,Yes,No,"Hamish yellow teddy bear is a classic named gift-teddy format, usually sold through card shops, florists, and boutique toy outlets from the 1990s onward. Named bears often come from small-run plush distributors where the character name helps differentiate otherwise similar body patterns.

Typical materials are polyester plush, polyester fill, and plastic safety eyes or embroidered details depending on age grading. Resale value is usually sentimental-market level unless a verifiable brand label, limited production run, or complete tag set is present.",,plush,,
0026,Lion 2m display,2025-07-08,2025-07-08,0,No,Yes,No,,,mechanical,,
0027,Playmates Amazing dolls trio,2025-04-27,2025-07-27,23,No,Yes,No,"This Playmates dolls trio is from a mass-market doll tradition associated with Playmates Toys and adjacent 1990s-2000s fashion/character doll lines. Sets of three were commonly sold as themed companions or multi-pack value assortments in toy retail channels.

Typical build combines vinyl or plastic heads/limbs with synthetic rooted hair and stitched textile outfits. Collector value is moderate and rises when the dolls remain as an original matched group with intact accessories, original clothing, and visible maker marks.",,"plush, electronic, mechanical",,
0028,Vintage five-joint mohair teddy,2025-07-30,2025-07-30,15,No,Yes,No,"A vintage five-joint mohair teddy belongs to the classic articulated bear tradition, usually inspired by early 20th-century German and British bear-making patterns. Five-joint construction (head, arms, legs) is a key hallmark for older collector-style teddy design.

Materials are commonly mohair pile on backing, with wood-wool or fiber stuffing in older examples and disk/cotter-pin joints for articulation. Market value can range widely, with maker attribution, age evidence, and originality of eyes/pads/stitching driving collector demand.",,plush,,
0029,Bumblebear adding sound module,2025-08-20,2025-08-20,0,No,Yes,No,,,"plush, electronic",,
0030,KFC Chicky footballer figurines,2025-08-23,2025-08-23,4,No,Yes,No,"KFC Chicky footballer figurines are promotional fast-food character items, typically produced as campaign tie-ins for seasonal sport events. This style of giveaway/meal premium was especially prominent from the 1990s through 2010s in quick-service marketing.

They are usually molded PVC or ABS mini figures with painted team-themed details and simple fixed poses. Collector interest is niche but real for complete campaign sets, while single loose figures generally trade in the affordable promo-memorabilia range.",,paintjob,,
0031,Mickey and Goofy plush pair,2025-08-29,2025-08-29,1,No,Yes,No,"This Mickey and Goofy plush pair is licensed Disney character merchandise from the long-running theme-park and retail plush ecosystem. Pairings of core Disney characters are common across 1990s to current-era releases from Disney Store and partner manufacturers.

Most examples use polyester plush, embroidered facial features, and soft internal fill with occasional bean weighting. Market value improves when both characters are matching-era releases with original tags, as complete pairs are usually preferred over mixed loose singles.",,plush,,
0032,Kitchen witch on broomstick,2025-08-30,2025-08-30,4,No,Yes,No,"Kitchen witch on broomstick figures are folk-decor collectibles associated with European-inspired kitchen good-luck traditions, widely sold in craft and gift markets from the 1960s onward. They are decorative hangers rather than mainstream play toys.

Construction usually combines cloth costume elements, soft stuffing, yarn hair, and a wire or wood support around the broom form. Value is typically modest and decor-driven, with handmade provenance or older regional craft production adding interest.",,plush,,
0033,Phone and Mic toys,2025-09-09,2025-09-09,0,No,Yes,No,,,electronic,,
0034,Miniso radish plush,2025-09-15,2025-09-16,2,No,Yes,No,"This Miniso radish plush is a modern lifestyle-store novelty plush from the MINISO retail era that expanded globally in the 2010s and 2020s. Food-vegetable character plush became a recognizable category in Asian-inspired gift merchandising during that period.

Construction is usually soft polyester fabric with polyester fill and embroidered face details aimed at decor-plus-cuddle use. Market value is generally accessible retail level, with demand mostly tied to design appeal and condition rather than long-term rarity.",,"plush, paintjob",,
0035,Jurassic Park electronic T-Rex,2025-09-25,2025-09-25,18,No,Yes,No,"Jurassic Park electronic T-Rex toys are tied to the franchise merchandise cycles that began in the 1990s and continued through reboots and collector reissues. Different makers released electronic dinosaur variants across Kenner/Hasbro-era and later lines.

Typical builds use molded PVC/ABS shells, geared movement or jaw action, and battery-powered roar sound modules. Collector value is strongest for complete, functional figures with intact paint and battery compartments, especially when linked to specific film-era releases.",,"plush, electronic, mechanical",,
0036,Brown sherpa teddy blue ribbon,2025-09-26,2025-09-26,9,No,Yes,No,"This brown sherpa teddy with blue ribbon is a gift-plush bear in the textured sherpa-fleece style that became common in the 2000s onward. Ribbon-neck teddy formats are a staple of florist, pharmacy, and department-store plush assortments.

Materials are usually polyester sherpa fabric, polyester stuffing, and satin or grosgrain ribbon trim. Secondary-market value is typically sentimental and modest unless labels identify a known premium plush maker or limited seasonal run.",,plush,,
0037,Jellycat Blossom bunny,2025-10-01,2025-10-01,12,No,Yes,No,"Jellycat Blossom Bunny is a recognized modern plush line from Jellycat London, a UK brand founded in 1999 and known for soft contemporary nursery designs. Blossom variants are notable for their floral-print ear and foot fabric accents within the Bashful family style.

Construction uses high-quality polyester plush with embroidered facial details and soft fill; floral panels are usually cotton blend prints. Collector demand for Jellycat is strong, and retired colorways or sizes can command premium resale when tags and condition are excellent.",,plush,,
0038,Hallmark reading buddy teddy,2025-10-09,2025-10-09,10,No,Yes,No,"Hallmark reading buddy teddy products sit within Hallmark's gift-and-keepsake category, where plush companions were often paired with books, cards, or seasonal messaging. This format was especially visible in late 1990s-2010s gift retail channels.

These bears are generally polyester plush with stitched features and, in some versions, a simple sound insert tied to storytelling themes. Market value is moderate and sentiment-led, with boxed sets or complete tie-in book bundles attracting the most buyer interest.",,"plush, electronic",,
0039,CoComelon Cece plush,2025-10-17,2025-10-17,7,No,Yes,No,"CoComelon Cece plush is licensed preschool character merchandise from the CoComelon brand expansion that surged globally in the late 2010s and 2020s. Official plush releases are commonly distributed through major toy channels under licensed agreements.

Typical materials are polyester plush fabric, embroidered facial features, and soft fill designed for toddler-safe handling. Market value is generally mass-retail range, though complete character sets in clean condition are preferred by parents and character collectors.",,plush,,
0040,Christmas toy train set,2025-10-20,2025-10-20,4,No,Yes,No,"Christmas toy train sets are seasonal household display toys, often sold for around-tree layouts and festive village scenes since the late 20th century. They are commonly unbranded or store-branded, with many near-identical variants released each year.

Construction is usually molded plastic track and cars with a small battery motor and simple couplers, sometimes with lights or sound. Collector value is modest for generic sets, while branded vintage train makers and complete boxed sets hold stronger long-term demand.",,"electronic, mechanical",,
0041,Tonka Chuck and Friends trucks,2025-10-23,2025-10-23,8,No,Yes,No,"Tonka Chuck and Friends trucks are licensed preschool vehicles tied to the Chuck & Friends era under the Tonka/Hasbro umbrella in the early 2010s. These toys blend classic Tonka construction themes with animated character styling.

Most versions use durable molded plastic bodies with rolling axles and occasional push-activated sounds or lights. Market demand is strongest for complete themed groups and working electronic examples, while loose singles usually stay in affordable collector ranges.",,"plush, electronic, mechanical",,
0042,Soft cloth baby doll,2025-10-30,2025-10-30,11,No,Yes,No,"This soft cloth baby doll is part of the rag-doll and first-baby-doll tradition widely sold in nursery and toddler lines from the 1980s onward. These dolls are designed for early comfort play and are typically non-fragile and machine-friendly.

Materials commonly include cotton/poly cloth bodies, yarn hair, embroidered faces, and polyester fiber fill. Market value is generally practical and sentimental unless the doll is traceable to a premium maker with identifiable tags and original accessories.",,plush,,
0043,Verna 1960s vintage teddy,2025-11-28,2025-11-28,0,No,Yes,No,,,plush,,
0044,Kosen white plush horse,2025-11-30,2025-11-30,12,No,Yes,No,"Kosen white plush horse is associated with Kosen (Koesen), the German plush maker established in 1912 and known for naturalistic animal design. Kosen pieces are often produced to a higher realism standard than mass-market plush lines.

Construction may include premium synthetic or natural-look pile fabrics, carefully shaped forms, and firm but soft stuffing for display-quality silhouette. Market value for Kosen is generally above standard gift plush, especially for clean, tagged, and retired models.",,plush,,
0045,Beanie Boo husky plush,2025-12-02,2025-12-02,2,No,Yes,No,"Ty Beanie Boo husky plush belongs to Ty's Beanie Boo line launched in 2009, recognized by oversized glitter-style eyes and named character releases. The line became a major modern collectible category with regular seasonal and retailer-exclusive drops.

Materials are typically polyester plush with polyester fill and Ty's branded heart/swing tags identifying character name and birthday. Secondary-market value varies by issue and rarity, with retired variants and tag-intact examples usually trading above common releases.",,plush,,
0046,Astro Wars electronic game,2026-01-05,2026-01-06,4,No,Yes,No,"Astro Wars is a classic early-1980s handheld electronic game, famously associated with Grandstand in the UK and related licensed variants in other markets. It belongs to the pre-NES tabletop/handheld era that used dedicated hardware rather than interchangeable cartridges.

Most units use vacuum fluorescent display (VFD) technology, hard plastic shells, and discrete button controls powered by batteries or adapters. Collector demand is steady among retro electronics buyers, with screen brightness, sound output, and battery-compartment condition being key value drivers.",,"electronic, mechanical",,
0047,Teddy bear,2026-01-05,2026-01-09,0,No,Yes,No,,,plush,,
0048,Vintage Santa Christmas figure,2026-01-05,2026-01-05,7,No,Yes,No,"A vintage Santa Christmas figure belongs to seasonal holiday decor traditions spanning department-store and giftware lines from the mid-20th century onward. These pieces may be static figurines or light/animated forms depending on maker and period.

Construction commonly includes plastic, resin, textile trim, and sometimes wire armatures or simple internal mechanisms. Market value is highly era- and condition-dependent, with older, well-preserved figures and clear maker marks drawing stronger holiday collector interest.",,"plush, electronic, mechanical",,
0049,He-Man action figure,2026-01-05,2026-01-05,0,No,Yes,Yes,,,,,
0050,Toy Story Woody pull-string doll,2026-01-05,2026-05-06,4,No,Yes,No,"Toy Story Woody pull-string dolls are licensed Pixar/Disney products, with major production by Thinkway Toys across multiple film generations. The pull-string voice format became iconic from the original 1995 Toy Story release onward.

Construction usually combines a soft body with molded plastic head/hands/boots, stitched costume textiles, and an internal voice pull-cord module. Collector value rises for screen-accurate versions with working voice units, original hat/accessories, and identifiable release-era tags.",,"plush, electronic, mechanical",,
0051,Harold singing reindeer,2026-01-05,2026-01-09,7,No,Yes,No,"Harold singing reindeer is a seasonal novelty plush/animatronic style common in Christmas retail from the late 1990s onward. Named reindeer characters were often sold as countertop gifts with music and simple movement loops.

Typical build uses polyester plush over a plastic internal frame with motorized head/body motion and a battery-powered sound board. Market value is usually modest outside holiday season, with functionality and cosmetic condition being the main resale factors.",,"plush, electronic, mechanical",,
0052,Singing Elvis Christmas dog,2025-12-01,2026-01-12,10,No,Yes,No,"A singing Elvis Christmas dog is a licensed-style holiday novelty combining pop-culture music branding with animatronic plush formats popular in the 2000s-2010s. Items in this category were often sold as seasonal gag gifts and collector decor pieces.

Construction typically uses plush textile shells over a plastic mechanism housing with a battery-powered speaker/motor module. Market value depends on verified licensing, working audio/motion, and cosmetic completeness, with boxed examples usually preferred by memorabilia buyers.",,electronic,,
0053,Playskool Kota Triceratops,2025-10-30,2025-10-30,33,No,Yes,No,"Playskool Kota My Triceratops is a large-scale interactive dinosaur toy released by Hasbro's Playskool line in the late 2000s (notably 2008). It is known as an oversized ride-on/interactive prehistoric toy from a short but memorable retail window.

Kota uses molded plastic structural parts with soft-touch outer covering, internal motors/electronics, and touch or button interactivity features. Collector value is helped by its scale and relative scarcity, but shipping size and mechanism condition heavily affect market pricing.",,"plush, electronic, mechanical",,
0055,Santa Homer Simpson animatronic,2025-12-01,2025-12-01,21,No,Yes,No,"Santa Homer Simpson animatronics are licensed seasonal tie-in collectibles combining The Simpsons branding with Christmas novelty motion toys. Most examples date to 2000s-era character-merch waves where pop-culture mascots were adapted into festive decor.

Typical construction includes molded plastic components, textile Santa costume elements, and a battery-operated motor/sound assembly. Market value is strongest for clearly licensed, fully functional units with intact paint and costume parts, particularly in original packaging.",,"plush, electronic, mechanical",,
0056,Snow woman animatronic,2026-01-16,2026-01-16,0,No,Yes,No,,,"electronic, mechanical",,
0057,Yellow Yoshi plush,2026-01-17,2026-01-17,6,No,Yes,No,"Yellow Yoshi plush is licensed Nintendo character merchandise from the long-running Super Mario universe, with color variants representing different Yoshis across game eras. Plush releases have appeared continuously since the late 1990s through current lines.

Typical materials are polyester plush and fill with embroidered eyes/details and franchise tagging from authorized distributors. Market value is strongest for official tagged releases and less common colorways, while generic untagged versions remain in standard plush price bands.",,plush,,
0058,John Deere ride-on tractor,2026-01-16,2026-01-16,7,No,Yes,No,"John Deere ride-on tractor toys are licensed child ride-ons produced across multiple manufacturers (including pedal and battery-powered variants) from the late 20th century onward. They mirror real John Deere styling and are a long-standing farm-toy category.

Common construction uses heavy-duty molded plastic body panels, steel axles, rubber/plastic wheels, and in powered models a 6V/12V battery drive system. Market value depends on drive functionality, body cracking, and completeness of chargers/decals, with licensed branding supporting demand.",,electronic,,
0059,Brown kangaroo plush tan pouch,2026-01-19,2026-01-19,6,No,Yes,No,"This brown kangaroo plush with tan pouch is in the Australian souvenir-animal plush category, widely sold through tourism and gift channels for decades. Kangaroo plush designs are usually generic unless tags identify a specific wildlife brand or museum line.

Typical materials are polyester faux-fur fabrics, polyester fill, and stitched details around muzzle, paws, and pouch. Market value is usually modest, but condition, symmetry, and any matching joey accessory can improve desirability for themed collectors.",,plush,,
0060,LEGO train engine,2026-01-20,2026-01-20,0,No,Yes,Yes,,,,,
0061,Elektra hoverboard,2026-01-29,2026-01-29,0,No,Yes,Yes,,,,,
0062,Bob the Builder and Spud plush,2026-01-22,2026-01-22,11,No,Yes,No,"Bob the Builder and Spud plush toys are licensed character merchandise from the Bob the Builder franchise era that was especially strong in the late 1990s and 2000s. Character pairings were commonly sold as companion plush sets for preschool audiences.

Typical construction uses polyester plush and fill with embroidered or printed facial details, and some variants include sound modules. Market value is moderate, with complete character pairs and clean franchise tags preferred over single loose pieces.",,"plush, electronic",,
0064,Animatronic Santa figure,2026-01-22,2026-01-22,7,No,Yes,No,"Animatronic Santa figures are a seasonal decor category sold widely through Christmas retail programs from the 1990s onward. They range from small shelf units to larger floor displays with synchronized music and motion.

Most units combine textile costumes, molded hands/face parts, metal/plastic internal frame sections, and motorized sound modules. Collector demand is strongest for working movement cycles and intact costume trim, while non-functional units trade mainly as static decor.",,"electronic, mechanical",,
0065,French musical sound book,2026-04-01,2026-04-02,0,No,Yes,No,,,electronic,,
0066,Lucy dalmatian plush dog,2026-03-03,2026-04-05,6,No,Yes,No,"Lucy dalmatian plush dog is a named dog plush in the classic pet-toy gift segment, commonly sold in toy stores and card/gift outlets from the 1990s onward. Dalmatian styling remains popular because of strong association with family character media and pet themes.

Typical materials include polyester faux fur, fiber fill, and either safety eyes or embroidery for facial details. Value is usually sentimental and condition-led, with stronger pricing only when specific maker tags and original accessories are retained.",,plush,,
0067,Dakin stroller huggers with music box,2026-04-01,2026-04-14,3,No,Yes,No,"Dakin stroller huggers with music box are nursery accessories from the Dakin plush tradition, with Dakin known historically for stuffed animals and baby gift lines in the late 20th century. Stroller-hugger formats were common in infant gifting and pram accessories.

Construction usually combines soft plush fabric, hook-and-loop or tie attachment points, and a small pull-string or wind-up music module. Collector value is niche but meaningful for vintage nursery buyers, especially when the mechanism works and branding labels remain legible.",,"plush, mechanical",,
0068,Jointed teddy bears set of four,2026-02-27,2026-02-27,0,No,Yes,No,,,plush,,
0069,Transformer BumbleBee,2026-04-03,2026-04-03,0,No,Yes,No,,,"electronic, mechanical",,
0070,Times Sq Tower,2026-03-30,2026-03-30,0,No,Yes,Yes,,,,,
0071,kiddie katch a bus,2026-03-04,2026-03-04,0,No,Yes,Yes,,,,,
0072,Lucky Fairy,2026-04-09,2026-04-21,0,No,Yes,No,,,"plush, paintjob",,
0073,Companion Cat,2026-04-12,2026-04-12,0,No,Yes,No,,,plush,,
0074,Jellycat Bashful bunnies yellow and navy,2026-04-30,2026-05-08,3,No,Yes,No,"Jellycat Bashful bunnies in yellow and navy are from Jellycat London's flagship Bashful rabbit range, a highly recognizable modern plush line since the late 1990s. Colorway variation is a major part of Jellycat collecting, especially when shades retire.

These bunnies are typically polyester plush with soft fill and minimal embroidered features for a clean nursery look. Collector demand is healthy, and matching color pairs with tags can command stronger resale than single, heavily used examples.",,plush,,
0075,singing bear,2026-05-02,2026-05-02,0,No,Yes,No,,,"plush, electronic",,
0076,Sleeping tan teddy blue pillow,2026-05-12,2026-05-14,1,No,Yes,No,"Sleeping tan teddy with blue pillow is a nursery comfort-plush style, typically sold as bedtime-themed gift merchandise from the 2000s onward. Pillow-attached pose designs are common in baby shower and keepsake teddy ranges.

Materials are usually polyester plush and fill, soft pillow fabric, and stitched facial details for safety. Resale value is generally modest and sentimental, with condition, odor-free storage, and clear maker labels being the main quality indicators.",,plush,,
0077,Vintage rabbit plushie,2026-05-16,2026-05-16,0,No,Yes,No,,,plush,,
0078,Disney Pluto plush,2026-03-02,2026-03-03,5,No,Yes,No,"Disney Pluto plush is officially licensed Mickey universe merchandise, produced across many decades by Disney Store and approved partner manufacturers. Pluto's design has remained consistent, making tag/date cues important for pinpointing release era.

Most versions use polyester plush with embroidered or appliqued facial details and soft fill suited to child handling. Collector value is strongest for specific park/store releases or complete matching-era character groups in clean, tag-intact condition.",,plush,,
0079,Tan shaggy dog brown ribbon,2025-12-11,2025-12-14,2,No,Yes,No,"This tan shaggy dog plush with brown ribbon is a classic gift-plush dog style from mainstream retail lines in the 1990s onward. Ribbon-collar presentation is common in non-licensed plush intended for general gifting rather than character collecting.

Construction generally uses long-pile polyester fabric, polyester stuffing, and stitched or safety eye details. Market value is usually modest unless the sewn-in label identifies a premium plush house or a limited seasonal release.",,plush,,
0080,Capybara plush,2026-02-16,2026-02-18,6,No,Yes,No,"Capybara plush toys are part of a recent animal-trend wave that gained strong popularity in the 2020s through social media and lifestyle gift channels. Many releases are contemporary novelty plush from Asian and global gift brands.

Typical materials are polyester plush and fiber fill with simplified embroidered facial styling. Market value is currently demand-led rather than rarity-led, with larger sizes and distinctive expression variants often selling better than generic small runs.",,plush,,
0081,Terry cloth tan puppy plush,2026-04-21,2026-04-22,2,No,Yes,No,"A terry cloth tan puppy plush belongs to softer baby-safe plush categories where looped or towel-like textures are used for tactile comfort. This style has been common in infant and toddler gift lines since at least the 1990s.

Construction typically uses cotton/poly terry or terry-like polyester fabric with soft fill and embroidered features. Market value is usually practical and low-to-mid, with strongest buyer interest when condition is clean and labels confirm a known nursery brand.",,plush,,
0082,Elephant baby lovey blanket,2025-11-24,2025-12-09,5,No,Yes,No,"Elephant baby lovey blankets are comfort-security items that combine a small plush head with a soft blanket panel, a format widely adopted in nursery markets from the 2000s onward. They are usually sold as infant gifting essentials rather than collector toys.

Materials commonly include polyester minky/velour or cotton-blend cloth, with embroidered facial details and lightweight fill in the head section. Value is generally modest, but recognized baby-brand labels and very clean condition improve resale confidence for parents.",,plush,,
0083,Teddy in pink pajamas,2026-04-17,2026-04-22,2,No,Yes,No,"A teddy in pink pajamas is a bedtime-themed gift plush style that became especially common in department and card retail channels from the late 1990s onward. Pajama bears are often seasonal or occasion-linked (new baby, get well, bedtime gift).

Construction usually combines polyester plush body fabric with stitched textile pajama garments and soft internal fill. Market value is mostly sentimental unless the bear is tied to a named collectible line or a documented limited-edition run.",,plush,,
0084,Paddington Bear,2026-01-05,2026-01-08,7,No,Yes,No,"Paddington Bear plush is licensed from Michael Bond's character first published in 1958, with long-running toy production by multiple official licensees such as Eden, Rainbow Designs, and others by region/era. Signature identifiers include duffle coat, hat, and often the marmalade tag motif.

Materials are typically polyester plush or mixed textile construction with dressed clothing components and embroidered facial features. Collector value varies widely by maker and era, with vintage licensed examples and complete outfit/accessory sets commanding stronger prices.",,plush,,
