id,folder,file,width,height,exif_orientation,needs_fix,suggested_rotate,vision_ok,heuristic
0084,0084 - Paddington Bear,after.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0084,0084 - Paddington Bear,before.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0085,0085 - Vintage giant panda plush,before.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0087,0087 - Curly sherpa teddy gold organza bow,after.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0087,0087 - Curly sherpa teddy gold organza bow,before.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0088,0088 - Yui Yuigahama Bunny Ver 1 4 FREEing,after.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0089,0089 - Brown sherpa teddy pink ribbon,after.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0090,0090 - Cream teddy blue satin bow,after.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0090,0090 - Cream teddy blue satin bow,before.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0091,0091 - Woody doll Toy Story,after.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0092,0092 - Buzz Lightyear figure,after.jpeg,1024,768,1,heuristic,manual_review,,review_landscape_primary
0093,0093 - Tomy Big Loader white shells pair,hero.jpg,1280,960,1,heuristic,manual_review,,review_landscape_primary
