id,folder,needs,image_count,has_item_details,has_repair_details,current_title,current_description_preview
0060,"0060 - LEGO train engine","description + title",0,0,0,"","LEGO train engine — assessed non-repairable for the reported fault."
0061,"0061 - Elektra hoverboard","description + title",0,0,0,"","Elektra hoverboard — assessed non-repairable for the reported fault."
0062,"0062 - Bob the Builder and Spud plush","description + title",11,1,0,"","Bob the Builder and Spud plush — electronics repair, cleaning and refresh, and sewing and fabric repair."
0064,"0064 - Animatronic Santa figure","description + title",7,1,0,"","Animatronic Santa figure — mechanical repair and electronics repair."
0065,"0065 - French musical sound book","description + title",0,0,0,"","French musical sound book — electronics repair."
0066,"0066 - Lucy dalmatian plush dog","description + title",6,1,0,"","Lucy dalmatian plush dog — sewing and restuffing."
0067,"0067 - Dakin stroller huggers with music box","description + title",3,1,0,"","Dakin stroller huggers with music box — mechanical repair and sewing and fabric repair."
0068,"0068 - Jointed teddy bears set of four","description + title",0,0,0,"","Jointed teddy bears set of four — sewing and joint replacement."
0069,"0069 - Transformer BumbleBee","description + title",0,0,0,"","Transformer BumbleBee — electronics repair and mechanical repair."
0070,"0070 - Times Sq Tower","description + title",0,0,0,"","Times Sq Tower — intake; repair scope to be confirmed when the item is checked in."
0071,"0071 - kiddie katch a bus","description + title",0,0,0,"","kiddie katch a bus — intake; repair scope to be confirmed when the item is checked in."
0072,"0072 - Lucky Fairy","description + title",0,0,0,"","Lucky Fairy — sewing and restoration."
0073,"0073 - Companion Cat","description + title",0,0,0,"","Companion Cat — sewing and fabric repair."
0074,"0074 - Jellycat Bashful bunnies yellow and navy","description + title",3,1,0,"","Jellycat Bashful bunnies yellow and navy — sewing and cleaning."
0075,"0075 - singing bear","description + title",0,0,0,"","singing bear — electronics repair and sewing and fabric repair."
0076,"0076 - Sleeping tan teddy blue pillow","description + title",1,1,0,"","Sleeping tan teddy blue pillow — cleaning and refresh, restuffing, and sewing and fabric repair."
0077,"0077 - Vintage rabbit plushie","description + title",0,0,0,"","Vintage rabbit plushie — cleaning and refresh."
0078,"0078 - Disney Pluto plush","description + title",5,1,0,"","Disney Pluto plush — sewing and restuffing."
0079,"0079 - Tan shaggy dog brown ribbon","description + title",2,1,0,"","Tan shaggy dog brown ribbon — sewing and restuffing."
0080,"0080 - Capybara plush","description + title",6,1,0,"","Capybara plush — sewing and restuffing."
0081,"0081 - Terry cloth tan puppy plush","description + title",2,1,0,"","Terry cloth tan puppy plush — sewing and fabric repair."
0082,"0082 - Elephant baby lovey blanket","description + title",5,1,0,"","Elephant baby lovey blanket — sewing and fabric repair."
0083,"0083 - Teddy in pink pajamas","description + title",2,1,0,"","Teddy in pink pajamas — sewing and fabric repair."
0084,"0084 - Paddington Bear","description + title",7,1,0,"","Paddington Bear — sewing and cleaning."
0085,"0085 - Vintage giant panda plush","description + title",3,1,0,"","Vintage giant panda plush — sewing and cleaning."
0086,"0086 - Disney Tigger plush","description + title",7,1,0,"","Disney Tigger plush — sewing and cleaning."
0087,"0087 - Curly sherpa teddy gold organza bow","description + title",3,1,0,"","Curly sherpa teddy gold organza bow — sewing and cleaning."
0088,"0088 - Yui Yuigahama Bunny Ver 1 4 FREEing","description + title",7,1,0,"","Yui Yuigahama Bunny Ver 1/4 FREEing — figure repair and gluing."
0089,"0089 - Brown sherpa teddy pink ribbon","description + title",1,1,0,"","Brown sherpa teddy pink ribbon — sewing and cleaning."
0090,"0090 - Cream teddy blue satin bow","description + title",6,1,0,"","Cream teddy blue satin bow — sewing and restuffing."
0091,"0091 - Woody doll Toy Story","description + title",4,1,0,"","Woody doll Toy Story — sewing and electronics."
0092,"0092 - Buzz Lightyear figure","description + title",7,1,0,"","Buzz Lightyear figure — figure repair and cleaning."
